0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0.2,BoneVRepeat,128,257,95,0,180,8,120
0,BoneVRepeat,128,366,20,0,180,8,120
0,BoneVRepeat,503,257,95,2,180,8,120
0,BoneVRepeat,503,366,20,2,180,8,120
0.9,HeartMode,1,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,SansHead,BlueEye,,,,,,,
0,Sound,GasterBlaster,1.4,,,,,,
0.26666,SansSlam,2,,,,,,,
0,SansAnimation,Idle,,,,,,,
0,SansHead,Default,,,,,,,
2,HeartMode,1,,,,,,,
0,HeartTeleport,320,376,,,,,,
0,SansBody,HandDown,,,,,,,
0,SansHead,BlueEye,,,,,,,
0,Sound,GasterBlaster,1.4,,,,,,
0.1,SansSlam,1,,,,,,,
0,SansAnimation,Idle,,,,,,,
0,SansHead,Default,,,,,,,
6.4,EndAttack,,,,,,,
