0,CombatZoneResize,113,231,548,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,Platform,151,336,60,0,90,1,
0,HeartTeleport,175,327,,,,,
0,BoneVRepeat,528,366,40,0,60,60,15
0,BoneVRepeat,283,267,40,3,90,11,85
0,BoneVRepeat,363,331,40,1,120,13,95
0,BoneVRepeat,443,248,40,3,90,11,85
0,SansHead,BlueEye,,,,,,,
1.5,SansSlam,1,,,,,,,
1.5,SansSlam,3,,,,,,,
1.5,SansSlam,1,,,,,,,
1.5,SansSlam,3,,,,,,,
3,SansSlam,1,,,,,,,
0,SansHead,Default,,,,,,,
5.6,EndAttack,,,,,,,
